Text	Class	NACE
argus is all about getting to know the rhythm of your own lifestyle doctors recommend at least active minutes every day trends gathering all your data allows you understand the bigger trends in your life argus lets you plot any two variables to detect patterns over time and make better daily decisions	0.0	6
for more than a century ibm has been dedicated to every client s success and to creating innovations that matter for the world	0.0	6
the company s activities as in previous years have consisted in the development manufacture and marketing of computer vision systems	1.0	2
company purpose is to develop and sell software systems provide consultancy in connection hereby as well as establish ownership of shares in other companies in this industry	1.0	6
optonova is a leading international supplier of automatic inspection systems for manufacturing industries we also offer a wide variety of services within	1.0	7
helmee csd covered stereo deflectometry is a online sorting and quality inspection unit that gives you full control over your quality first time ever you	0.0	6
cut implement konen k ratkaisuja and production processes and competitiveness healing solutions customers industrial internet utilizing	1.0	6
company purpose is to sell industrial components	1.0	6
videometer specializes in spectral imaging automated visual measurements and quality control focus is on development and sale of high performance vision systems for a broad range of industries	0.0	2
optofidelity provides robot assisted testing and measurement solutions for touch displays vr hmds ar neds infotainments and refurbished smartphones	0.0	6
the company shall conduct construction innovation development and construction mainly within the engineering industry project and conduct management of value documents and conduct compatible operations	0.0	7
nxt ventures fund is a boston angel investment fund established for the purpose of discovering and enabling the next truly disruptive start up companies	0.0	7
the company will conduct system and application development in the area of mobile proximity based trading and marketing and thus compatible operations	0.0	6
serof as have it best selection within h yhastighetskamera year experience within let and sales av highspeed camera	0.0	5
dxc technology helps global companies run their mission critical systems and operations while modernizing it optimizing data architectures and ensuring security and scalability across public private and hybrid clouds	0.0	6
the purpose of the company is to carry out consultancy activities to provide management consultancy services to other undertakings and to other related undertakings	1.0	7
sykes creates intelligent cx for brands across the globe through digital marketing sales expertise customer service and technical support bpo solutions	0.0	8
we help organizations manage critical information within identity access and privilege management	0.0	6
qvest advises and supports organizations and companies worldwide on the requirements in the context of digital transformation and is a leading global systems architect ict integrator and developer of software solutions in the innovation driven media industry	0.0	6
a global leader in consulting technology services and digital transformation we offer an array of integrated services combining technology with deep sector expertise	1.0	6
a digital product engineering leader nagarro drives technology led business breakthroughs for industry leaders and challengers through agility and innovation	1.0	4
gaia is a digitization agency in norrk ping that creates great digital experiences and solutions that change and do good	0.0	7
the company s purpose is to acquire and implement it solutions or other related business according to the management	0.0	6
the company s activities have comprised like in previous years consultancy within innovation management consulting and technology services	1.0	7
infosys is a global leader in next generation digital services and consulting	1.0	6
the company is part of a global group which works with management consultancy services system integration and outsourcing	1.0	7
isobar denmark is a digital agency our mission is to set new standards for customer relations based on insight and technology isobar denmark has three distinct business areas campaigns marketing automation and platforms	1.0	6
our mission is to bring the benefits of state of the art machine learning and artificial intelligence to every organization	1.0	6
company shall conduct analysis strategic counseling regard environment and social questions as well as conduct thereby compatible activities	1.0	7
mckinsey company is the trusted advisor and counselor to many of the world s most influential businesses and institutions	1.0	7
gaia is a consultancy for sustainable business whose clients make the world cleaner and safer	1.0	7
we are experts in environmental impact and mining technology so that our partners can focus on building a future society	1.0	7
gp strategies nordic a s is a provider of human capital management solutions including sales and support of the full sap successfactors business execution bizx platform elearning and blended learning solutions	1.0	6
gartner danmark aps is part of the world s leading information technology research and advisory company	1.0	6
we believe in the good business and an efficient construction sector without waste where valuable insights and experiences are recycled for a sustainable construction of society	1.0	7
navigio is one of the leading nordic consultancies within executive search leadership services performance management and strategy organization	1.0	7
the company s objective is to offer international consultancy for all types of enterprises especially with regard to their development and appointment of managerial employees as well as all activities the supervisory board finds related thereto	1.0	7
we partner with clients like electrolux orkla and ikea to create digital solutions with quantifiable business value in cmss including wordpress episerver and drupal	1.0	6
we are a leading global professional services firm providing a broad range of risk retirement and health solutions	1.0	6
international organisation of audit offices	0.0	6
dla piper is a global law firm with lawyers located in more than countries throughout the americas europe the middle east africa and asia pacific positioning us to help clients with their legal needs around the world	0.0	6
talent management software and learning solutions to help you guide your organization s people culture and outcomes	1.0	7
russell reynolds associates executive search consultants get information and experienced insights at our website	1.0	7
bain company is a top management consulting firm we advise leaders on strategy marketing organization operations it and m a across all industries and geographies	1.0	7
boston consulting group bcg is a global management consulting firm that advises organizations in value creation strategies innovation and more	1.0	7
learn how cision s leading technology solutions empower communication pros to target reach and engage their audiences	0.0	7
an innovation and transformation consultancy we believe in the power of ingenuity to build a positive human future in a technology driven world our clients adapt and transform and together we achieve enduring results	1.0	7
publicis sapient helps established organizations get to their future digitally enabled state both in the way they work and serve their customers	1.0	7
arthur d little is a management consultancy that links strategy innovation and technology to ensure success for our clients	1.0	7
through digital platforms and innovative solutions we deliver services critical to society for a cleaner better and more profitable future	0.0	6
as in previous years the main activity was to carry out consultancy activities and any other related activities	1.0	7
we are business transformation specialists the way we work with our firms and clients is different to the other networks and firms we save you time money	0.0	6
the principal activity of the company is the design and installation of mechanical and electrical systems and provision of project management and engineering services	0.0	7
we combine our passion for design technology data and agile leadership to solve problems and help you thrive	1.0	6
the company shall carry out insurance brokerage and act as insurance agent for foreign companies as well as carrying out compatible activities	1.0	6
we is a digital consultancy that creates future customer experiences we is curious look entire image and makes the right things faster	1.0	6
the purpose of the company is to provide consultancy and training in the it industry	0.0	6
onwork provides cutting edge advisory and analytics services in people and organization areas contact us to find out more	1.0	7
korn ferry is a global organizational consulting firm we work with our clients to design optimal organization structures roles and responsibilities we help them hire the right people and advise them on how to reward and motivate their workforce while developing professionals as they navigate and advance their careers	1.0	7
a trusted business advisory firm that provides customized finance accounting hr risk operations and technology consulting services to leading businesses	1.0	6
our mix of best business technology experts practices and tools offer a unique and comprehensive toolkit for creating business value through technology	1.0	6
we prepare your business for change delivering innovative solutions that answer real business problems in the life sciences engineering and information technology sectors	1.0	7
amaris consulting is an independent technology consulting firm providing guidance and solutions to businesses	1.0	6
the objective of the company s activities is to conduct an executive recruitment business as well as con sulting and management services to companies with such activities as well as any other related business	1.0	6
kpmg is a global network of professional firms providing audit tax and advisory services	0.0	6
lars wilsby lars has years experience from top management consulting line management and board roles prior to joining chord he spent years with mckinsey years with skf in leading positions and years as independent board professional and advisor	1.0	7
about aon denmark contact us choose location kontor aon as a workplace visit aon visit aon employee profiles work and family life career development occupational conditions job vacancies vacancies unsolicited application aon news global home	1.0	7
we offer high quality executive education and leadership development services for individuals and organizations globally	1.0	7
fortos is a management consulting firm with a proven track record as advisors for senior management in the automotive industry we are a team of extraordinary thinkers and makers committed to your long term success	1.0	7
oliver wyman is a leading international management consulting firm that combines deep industry knowledge and expertise to create breakthroughs for clients on their toughest issues	1.0	7
at intellishore we help you leverage your data to drive insightful decisions and engage people to ensure a strong data culture	0.0	7
simon kucher is a leading consulting firm we help clients grow their revenues and profits by optimizing their strategy marketing pricing and sales	1.0	7
signium international thumbnail navigating covid covid remains a health and humanitarian crisis but the impact on organizations and teams is profound operating since signium can help you through it	1.0	7
cybercom is an innovative consultancy firm that leverages technical expertise and good business insight to help businesses and organisations capture the opportunities of digitalisation and create the sustainable solutions of tomorrow	1.0	6
the purpose of the company is to carry out consultancy activities and other advisory activities relating thereto	1.0	7
on kompar helps we small and midsize company to compare corporate loans fill in a application and get deals from several lenders completely free have you questions helps a of our advisor gladly to over email or phone	1.0	7
get a coop account with overdraft apply about a coop bank debit card or a loans with low interest rate read more about they many products in coop bank click here	0.0	6
the company s purpose is to produce and operate it and it related products	1.0	6
univest provides a full range of banking insurance investment solutions browse our online banking services or find a location near you	0.0	6
briqpay is a b b e commerce solution that delivers great user experiences for business to business sales online control the user journey with briqpay	1.0	5
the future of payments contactless wearables with nfc technology tapster offers contactless payment rings and watch straps and keyrings in premium leather or canvas tapster makes payments smoother faster and safer just tap it	1.0	7
we is nordic leading actor of endowment within unlisted shares funds and bonds welcome to a smarter way to manage investment	1.0	6
company shall conduct cyber and consultancy within they private and public sectors regard administration investment organization technology and kvalitetsutvecklingsfr gor as well as thereby compatible activities	1.0	6
digishares provides a software solution that is used through the issuance process digishares is your trusted white label tokenization partner through ongoing management of the real estate tokenized shares	1.0	5
the purpose of the company is to carry out financing and investment as well as all related activities	1.0	6
digital accountor offers online tools that help individuals and businesses with advance payments tax returns and annual reports read more here	1.0	6
with spenderlog takes you driver s seat in your economy it is single you share your consumption and spenderlog gives you insight into in your habits and your opportunities for to consume smarter	1.0	6
with mymonii spending and pay app teacher your children about value of money on a fun easy and digital way came free in walk with lommepengeappen	1.0	6
power to your people with pleos smart company credit cards our complete solution for all corporate expenses simplify your accounting pleo it	1.0	6
dream you about to be self or purchase competitors or maybe would you to sell your company before your plans out in life with saxis locate a advisor there can help you or complete your virksomhedshandel on danish most user friendly platform for buy and sale of companies	1.0	6
viabill is a payment method that allows you to shop as many times you want for up to kr viabill allows you to buy now and pay later when you pay back to viabill you pay in equal monthly payments without interest	1.0	6
b b payments for exporters save time and money on international b b payments with your own virtual iban in europe with direct access to sepa countries	1.0	6
ikano bank offers credit cards and the use of private clothing as well as leasing refining and shopping cards for companies	0.0	6
lunar s banking app makes managing your spending budget and savings easy with its sublime user experience for both personal and business finance	1.0	6
easybank helps you with the financial solutions for smb unsafe loans and sparring	0.0	6
arbejdernes landsbank is a bank that offers loan saving accounts and financial advice	0.0	6
the company holds shares and makes investments in other similar activities	1.0	6
danish first l neplatform before for crowdfunding and crowdlending where investors can invest in private borrowers a new alternative to bank	0.0	6
borrow money save or collect your loans and credits at marginalen bank with us you get savings and we offer credit cards and debit cards	0.0	7
the aim of the south abb is to ensure the best possible economic conversion of the activities entrusted to sydbank a s	0.0	6
for you with multiple consumer and small loans the best solution can be to refinance them express bank will be happy to help you test our calculator and apply for refining here	0.0	6
in coop bank you can manage your daily finances payments save up and borrow money for your consumption when needed	0.0	6
the need for use credit cards or collect all the borrowers do this for us with good conditions and good interest application will put into this web page	0.0	6
ecster offers payment solutions for consumers and sales companies together with our customers we develop and refine our products and services to create better shopping experiences	1.0	6
the company shall carry out subcontracting trade in securities movable property mainly inventory and immovable property and engage in other compatible activities	1.0	7
bank offering consumer loans credit cards and loans without security get our best interest rate to you from num and answer immediately by searching directly	0.0	6
borrow money save or collect your loans and credits at marginalen bank with us you get savings and we offer credit cards and debit cards become a customer today	0.0	7
dnb norwegian largest bank collect all your banking at us and get our best advice custom your economy	0.0	7
at ellos you will find a large selection of shoes and clothes in all sizes and at good prices also visit our home sharing with everything to your home	0.0	4
storebrand is a leading player in the nordic market for long term savings and insurance	0.0	6
start brushes and buy them you need we help you make smart choices for a better economy	0.0	6
nordea bank offers online banking insurance products as well as information to investors	0.0	6
kameo offers loans to companies and property projects and you may be able to invest look with certainty and expected return	0.0	8
the company shall own manage and administer instruments to be used in incentive programmes for personnel of the group to which the company belongs and conduct compatible operations	0.0	n
santander is a norwegian bank and it is mostly on car loans in norway we are specialists on car loans consumer smooth credit card and sparring	0.0	6
the company s main activities are the establishment and operation of an electronic trading platform for facilitating corporate loans and credit directly from investors to companies	0.0	6
you can found a aps for only in day we orders all registrations for you get cvr in day came quickly and safely in walk	0.0	6
pensam consists of both pension bank and insurance all foa members and their families can become customers	0.0	6
daily banking s tili s etucard visa online bank and s mobile are free of charge for all customer owners of the co operatives	0.0	6
seraphim finans offers financial solutions to companies and consumers in sweden a long term partner since	0.0	6
sparekassen vendyssel is a bank they offer loans and other financial services	0.0	6
vertaaensin fi help you save money referencing rahoitustuotteita discover you rates guaranteed loan credit card or electricity contract	1.0	6
if you need a lite loan this is the right place	0.0	6
pay or charge with the help of resource bank we help over partners and million customers every day welcome in too	0.0	7
the application couldn t be any simpler the only thing you need to do is to identify yourself with internet bank codes and share your bank account details with	0.0	6
borrow money with high expected return secure free of charge	0.0	6
skjern bank provides their customers with loans and other financial services and advice	0.0	6
borrow money at ikano bank we offer private loans and low interest car loans you can also collect your loans with us apply for a credit card or open a savings account	0.0	7
search and compare best consumer loans without security at norfinance we have assessed the best consumer loans and have norway s most comprehensive loan guides for small loans refining and credit cards	0.0	6
pay your invoices and discover more of qliro loans without installation fee and savings accounts with really good interest rate	1.0	6
deliver one application get the best offer of banks axo finds good conditions on consumption and refining	0.0	6
we get good digital solutions in everyday life we are also concerned that you should have a personal advisor you can talk to talk to us about housing savings pension insurance and property	0.0	6
lollands bank provides their customers with loans and other financial services and advice	0.0	6
fellow finance is a marketplace for consumers and companies seeking loans and for investors seeking interest income	0.0	6
gf money flexible gf money is a nordic fintech group that works in the field of credit to individuals and companies financial services and real estate investments gf money operates in finland sweden and denmark the gf money sphere includes brands such as lainasto west house nordcredit gf property and smsmoney	0.0	6
the company shall provide credit to consumers and others including by providing consumer credit credit purchase and other financing through credit acquiring funds for financing purposes and carrying out compatible activities	0.0	6
enjoy the benefits of being a keybank client we offer checking savings accounts credit cards insurance and loans open your keybank account today	0.0	7
klp started as a splicing layer of small municipalities all over the country today we are norway s largest pension companies we re a different company because our customers own us all our value creation benefits customers	0.0	6
through a application get you deals from several lenders and choose it loans as fit you best completely free	0.0	6
welcome to amicus invest we offer you the best interest rates for fixed term accounts and regular savings accounts chat with our customer service and request a personal investment offer from today	0.0	6
make a smart investment by investing in peer to peer loans our marketplace connects investors with borrowers expected return of	0.0	6
skandia a strongly life company fondf rs kringsbolag and award winning bank with services for savings security and health	0.0	8
company purpose is to groundwork and drive trade with fish and fish products as well as second thus after management board estimates related company	0.0	4
at nemco you ll find a wide range of production equipment for food more than years of experience professional advice flexible and innovative	0.0	2
firda is a family owned leading producer of fjord trout from west coast of norway	0.0	4
the company shall conduct the development subcontracting packaging and distribution of herbal medicinal products in the pharmaceutical field as well as carrying out compatible activities	0.0	1
arenco develop manufacture and market efficient machines and complete production lines worldwide for packaging fish processing and match stick production	1.0	4
fm bulk is a specialist in the design and production of machines and complete process plants for gentle and efficient transport and handling of bulk goods	1.0	6
videometer specializes in spectral imaging automated visual measurements and quality control focus is on development and sale of high performance vision systems for a broad range of industries	0.0	2
marel is full line supplier of innovative solutions for the poultry meat fish and further processing industries	1.0	2
experts on color matching color measurement measure and tint software	0.0	5
lumaseance technologies a s develops produces and marketing instruments for measuring controlling and analysing gases and climatic conditions	0.0	2
as in previous years the company s activity consists primarily of the distribution of machines to the pharmaceutical industry and the sale of services spare parts and consumables to the machines	1.0	4
sameba we offer high quality products and solutions for all stages of the packaging production processes our range of products and services includes high quality products from the latest technologies leading manufacturers in the industry	0.0	4
innova lawyer company a law firm where new thinking and practical business understanding are combined with a high level of professionalism for the benefit of our customers	0.0	6
indova build is a total tree designer and a building company specialising in a new entrance and rehabilitation of exclusive homes	0.0	4
innova law firm a law firm where rethinking and practical business understanding combined with a high academically level to advantage for our customers	0.0	6
mekitec ltd is a leading manufacturer of x ray food inspection systems designed to improve quality control processes and brand protection for the food industry	1.0	2
svm automatik a s develops and manufactures assembly packaging and serialization systems for the pharmaceutical industry	0.0	2
linco food systems a s develops produces and sells machines and complete plants for slaughtering and processing of poultry as well as weighing and grading equipment also used in the fish industry as well as other food industries	1.0	2
the company s activity consists in designing producing and selling complex inspection equipment the products comprise pharmaceutical inspection machines as well as automatic inspection equipment for food packaging	0.0	2
the main activity as in previous years was to operate in the field of melting and metals the sale of alloys and their products mainly tin and lead and to sell technology and production facilities	0.0	7
whether it s protecting products preserving food or providing healthcare solutions our products and services along with our commitment to sustainability have made sealed air a leader in protecting everything that s important to your business	1.0	4
company purpose is to drive advisory services before for food safety and f devarekonservering and hereby related company	0.0	7
frontmatec is the world s leading manufacturer of automatic solutions for lamb beef and pork meat processing	0.0	6
as in previous years the company s activities consist of optimisation tasks	0.0	7
advanced vacuum distribution represent edwards vacuum we have vacuum pumps for all applications dry vacuum pumps and oil sealed vacuum pumps everything related to vacuum is are expertise we have authorized service engineers and we repair all types of vacuum pumps as edwards leybold pfeiffer and busch	0.0	4
company purpose is to drive company with debate of packing machines and second thus in connection standing company	0.0	4
the company s purpose is to develop produce and sell innovative cannabinoid products within food supplements and pharmaceutical products and to own and manage related ip patents trademarks etc as well as directly og indirectly related business activitites based on the board of director s assessment	0.0	7
at packwise we design develop and produce packaging solutions with a focus on delivery safety quality innovation and recyclability	0.0	4
innova is a leading supplier of services products and solutions to the oil and gas industry aquaculture renewables and power distribution	0.0	7
bergen plastics are experts in high performance packaging solutions for food detergents and medical use	0.0	2
with our technologies knowhow and industry expertise we help you find solutions that fit into every step of your production process	1.0	2
skaginn x provides advanced chilling and food processing technology systems for increased freshness yield faster processing times and maximum efficiency	1.0	4
specialist in automating and error proofing business processes in manufacturing since technology solutions for wip tracking scrap detection part serializing counting packing labeling and traceability from raw to fin	0.0	7
the company s activities comprise like previous years in sale and service of the groups products within the adhesive division and finishing division	0.0	4
the leading specialist international food packing business	0.0	8
worldwide supplier of equipment for rendering food fish oil environmental protection and biofuel industries haarslev industries manufactures processing equipment to customers in the meat pet food fish oil environmental protection and biofuel industries world wide	1.0	2
foodco global machinery the manufacturer of high technology equipment and control systems for the food processing industry handling meat and fish	0.0	2
company purpose is development production and sale of equipment to food	1.0	2
the company s activities are development production and sale of plate freezers and production and sale of complete handling lines and palletizing facilities for frozen blocks within the global food and feed industry	1.0	2
the main activities of the group and the company are the sale production assembly and service of production equipment made of stainless steel for use in the food industry as well as the sale and service of industrial automation	1.0	2
buy secondhand machinery at fmm we are specialized world wide in second hand equipment for the food industry since early s	1.0	4
as in previous years the main activity has consisted of trade repair rental and investment in the fishing industry	1.0	2
offering a wide assortment of norwegian atlantic salmon fjord trout and atlantic cod	1.0	1
buy fresh fish from thybor n large assortment of fish and shellfish to low prices get it delivered directly to door or pick up it by a fishing car a place near you	0.0	4
company purpose is dissemination of shellfish and fish as well as similar products primarily to krydstogtindustrien as well as second thus after management board estimates related company	0.0	8
the company s main activities are the production and sale of machinery and equipment for production facilities for the fishing industry	1.0	2
wide range in smoked products fresh fish and shellfish and frozen fish products we focus on fish and development	0.0	4
seac ab fish processing machines are one of the main supplier of fish processing machines in the world and we are world leading in very small fish	1.0	4
the company s main activities are the manufacture of lager products and the marketing of frozen picked shrimps in hirtshals as well as the manufacture of caviar and hot smoked trout fillet in two factories in vejle	0.0	1
lavendel hygiene as offers products and services that to improve and ensure your hygiene each day	0.0	4
the kalaneuvos group is specialised in fish farming fish processing wholesale import and export the group is based in finland and sweden	0.0	4
the company s activities shall be to process and freeze fish and therefore to operate in a compatible manner	0.0	1
at milarex food safety is our culture we believe that food safety is a choice you make for us food safety is more than food safety management standards all our consumers deserve a healthy tasty and safe food experience food safety are by many seen as a part of compliance in milarex we think differently read more	0.0	7
nordlaks is a family affiliate based in hadsel vester len we do everything ourselves from rog to finished porsion packs with premium salmon and dried products for customers around the world	0.0	5
company purpose is advice and consultancy within food and fiskeriproduktionsvirksomheder including design of fabriksl sninger before for same area and thereto natural associated with company	1.0	7
the company s main activities consist of trading and consulting within the fishing industry and owning shares in subsidiaries and other related activities	0.0	4
norlax a s is a manufacturer of smoked fish products with smoked salmon and trout as main products the production takes place in its own factory in outrup	0.0	1
scandiflex has been one of sweden s leading producers of printed flexible packaging laminates for the food industry since its inception in	0.0	2
fomaco is a food machinery company that provides injector machines for the food industry around the world	1.0	2
american seafoods is the world s largest frozen at sea processor of sustainable high protein wild alaska pollock and wild pacific hake	0.0	4
contact news and useful websites gathered in one place the start page gives you the best in reise or economics sports and mat drink we ll make the net useful	0.0	7
high quality fish food from oulu norwegian salmon and domestic fish ensure a diverse selection of fish food for a friend check out the best fish recipes	0.0	1
company purpose is trade with food fish fish products and hereby related purpose	0.0	4
salmoncuts exports the best norwegian salmoncuts world wide our passion is to help our suppliers to utilize as much of the salmon as possible and for our customers to get the best and freshest salmoncuts in the world	0.0	4
seaco a s specialise in global production and sales of frozen seafood products our main product is salmon wild and farmed	0.0	4
nordlaks wikipedia is a family owned aquaculture company with base i hadsel wikipedia i vester len we makes alt even from roe to finished portion packs with first class salmon and trout products for customers i entire world	0.0	7
as in previous years the company s main activity has been the processing and sale of fish products	0.0	4
at runi we develop total solutions for waste management worldwide we help you compress your waste efficiently and make money from it	0.0	2
manufactures and sells meat products in turku	0.0	4
disa assistans ab is a temporary agency aimed at disabled people who are in need of help with a well functioning everyday life we work according to the law that supports you who have been granted assistance compensation under lss	1.0	8
the company is responsible for importing and trading coffee and tea producing roasted coffee and tea as well as machines and operating in a compatible manner	0.0	1
sos alarm makes sure day and night all year round that the right help is in the right place	0.0	8
we are a communication agency in uppsala that helps you change people s behaviour with strategy and creativity welcome to matador	0.0	7
for investors and analysts who are intersted in handicare group we aim to provide a good description of our operations market position and development	1.0	7
there s something you need to know about us we re best	0.0	7
our works in esl v offer complete solutions for land and construction throughout sk ne large capacity for municipalities companies and private customers	0.0	4
bredin co has the right knowledge to perform qualitative vvs works electrical installations and more for both private individuals and companies	0.0	4
most projects begin with graphic design since we have worked with various famous characters and from style guides created designs for colouring books children s menus and different types of toys we have collaborated with companies like moomin sony and warner	0.0	4
vibrator assistans ab works with personal assistance long experience autism inspired by son rise and low affective treatment seeking assistance training	1.0	8
we are a medical and physiotherapy clinic that performs rehabilitation and surgical treatment within specialized orthopaedics	0.0	8
